book_num,series_chapter_num,book_chapter_num,book_title,chapter_title,chapter_start_date
7,189,27,Harry Potter and the Deathly Hallows,The Final Hiding Place,May 1st 1998
7,190,28,Harry Potter and the Deathly Hallows,The Missing Mirror,May 1st 1998
7,191,29,Harry Potter and the Deathly Hallows,The Lost Diadem,May 1st 1998
7,192,30,Harry Potter and the Deathly Hallows,The Sacking of Severus Snape,May 1st 1998
7,193,31,Harry Potter and the Deathly Hallows,The Battle of Hogwarts,May 1st 1998
7,194,32,Harry Potter and the Deathly Hallows,The Elder Wand,"May 2, 1998"
7,195,33,Harry Potter and the Deathly Hallows,The Prince’s Tale,"May 2, 1998"
7,196,34,Harry Potter and the Deathly Hallows,The Forest Again,"May 2, 1998"
7,197,35,Harry Potter and the Deathly Hallows,King’s Cross,"May 2, 1998"
7,198,36,Harry Potter and the Deathly Hallows,The Flaw in the Plan,"May 2, 1998"
7,199,37,Harry Potter and the Deathly Hallows,Epilogue,"September 1, 2017"
